nom,note,date,texte
Justine Soucy,5.0,2020 05 31,"You guys already know. Free popcorn = 5 star review from the one and only Justine S. Came for a small bite to eat before a concert with my cousin. The restaurant is very nice, the service was perfect, and all the tv's around are pretty pleasant and if you think they will bother you, they won't. You forget they're there after a while. We got a really good table next to a plug so I got to charge my phone before the concert. I think the prices for certain meals is a bit high but there seems to be something in the menu for most price points and appetites. I ordered a pina colada (was feeling fancy), and it was freaking delicious. The best pina colada I've had in my life (also the third pina colada I've ever had). My cousin and I got the plate to share and it came with chicken fingers, chicken wings, these sausage thingies, and potato skins. Everything was good except the potato skins, those were eh. I love it here!"
Kimberley Mc,3.0,2020 05 31,"Nice atmosphere, but we ordered two poke bowls and were really disappointed. There are barely 6 bites of fish per serving. It was more salad rice and a hint of fish. I hope my next visit will be better."
souleymane sy,1.0,2020 05 31,"Servers too rude, not professional. No respect for customers. Be careful if you reserve a place tell yourself that there is no guarantee that you will have it, they do not respect the commitments of their colleagues. and to top it off they are dishonest."
Amadou diallo,1.0,2020 05 31,"Bad customer service with a waitress who, in addition to being rude, is a real liar. Worse than that we had to deal with a racist manager who asks us to leave the restaurant and he adds ""Get out of here anyway there will be people and we will fill up""."
Jonathan Wells,5.0,2020 05 31,"My friend and I had a few appetizers and a pitcher of beer for a light dinner. Everything was wonderful! The beer was good, the prices were okay, the fish tacos were to die for, the poutine was good, and the service was fair. It is a sports bar styled restaurant and has a lot of T.V.'s to easily watch sports on. It is noisy, and I say this not as a negative, just to remind you of the atmosphere to expect at a sports bar. The decore is fun, consisting of hockey sticks, baseball bats, and beer kegs."
Anik Normandin,2.0,2020 05 31,"2 Beyond Meat burgers...2 clearly not identical meatballs. The cook is always right at this cage it would seem. It was our last dinner there. Be sure to show the food difference to your employees. A non-dew Beyond meat, at the Cage they are able to do that with a pronounced taste of beef!!! Photos available... Too bad we can't put them here."
aswin u,4.0,2020 05 31,Really nice Budweiser they brew there
S M,5.0,2020 05 31,"We went there after a show, we are regulars at the cage but the first time to this one. I expected ordinary service since it is not a local clientele, but quite the opposite smiling staff and pleasant clean place. And in addition victory of Jean Pascal."
Andrew Walker,5.0,2020 05 31,Great food and beer choice.. Great to watch sport too!!
Joeline Richter,5.0,2020 05 31,"Unique place with awesome food and great service. You have to go there, if you're in Montreal. Traditional Canadian/French cuisine, but also nice burgers, salads, etc. with amazing taste. I can highly recommend the Buffalo Poutine and the Mille Feuille. When I was there, it was super crowded but the service was still very quick and perfectly nice. Prices are totally fine, not expensive at all for what they offer! Definitely recommendable!"
Sarit Eyal,5.0,2020 05 31,"A place with a special style, instead of huge screens of the NBA game The place is decorated with baseball bats. The food is delicious and served aesthetically. Pleasant atmosphere. Good service. .warmly recommended."
Sh Nims,1.0,2020 05 31,I haven't had a good experience. The waitresses at the bar were rude. They weren't smiling or polite. Very disappointed with the service...
Johanne Gagnė,4.0,2020 05 31,"Good food, good service, just that we were a little cramped between the neighboring tables because they had added a 5th chair which hindered free passage. But nice atmosphere! I will go back there."
Nadir Rouyes,1.0,2020 05 31,"Very bad service the hostesses the one at the reception and specially the other one who place the guests they were impolite when we asked her for a table she took us to the very corner of the restaurant I told her we don't like this spot can you give us another table as i could see they were some others empty, she was like THIS IS THE ONLY TABLE I HAVE and she left without explaining her self or saying sorry. So me and my people we didn't like this cheeky attitude from the girl, as a result we've decided to go to another restaurant as we felt not welcomed in there. The bad thing is, at the checking out i mentioned to the girl at the reception that we didn't like the other girl's behaviour neither how we've been treated she didn't even care or saying a word."
Michael M.,4.0,2020 05 31,I went to this location with my cousin and we ordered 2 drinks with poutine and 911 wings. The poutine lacked sauce and the wings were definitely not 911 spicy but rather slightly spicy Buffalo. I had to ask for more sauce to be able to continue eating the poutine. The service was really good for a very hectic evening. I will definitely go back.
Tina Eickhoff,5.0,2020 05 31,The chicken burger is really tasty and service is very good.
Sandy Beach,2.0,2020 05 31,Ordered from skip the dishes and they sent it with no utensils. Boooo shame on you!!!!
Suicide Guy656,2.0,2020 05 31,Nice atmosphere and good place to go and watch the games on big TV. But the food is not good at all.
Marie-Paule Dessaint,4.0,2020 05 31,"The place is beautiful, well located and the food excellent, really excellent. We also care to get feedback from us. The first time the server was exceptional, attentive, truly exceptional. I would have given 6 stars out of 5. This time, Friday, I was badly served by a waitress for whom I do not exist, any more than the other customers. Not pleasant... and does not make an effort to be heard. I had to get up... to understand her. Following my assessment, I was called! I felt like in a court because I was asked to justify my evaluation of the waitress!!! And then, I have just seen the reviews and I realize that I am not the only one to have been badly served.. Too bad because I love the place. The terrace is beautiful.. and even the toilets!!"
dior dieng,1.0,2020 05 31,"Very very very bad service!!!! Servers, supervisor and manager who don't care about their customers. Our table was reserved the day before but when we got there, they had already given it to others. The attitude waitress.... NOT RECOMMENDED PLACE. AN INTOLERABLE LACK OF RESPECT! The manager clearly told us that “WITH OR WITHOUT YOU I WILL MAKE MY TURNOVER”"
Maxime Le Flaguais,1.0,2020 05 31,"I waited for my salad for an hour and a half. It wasn't good. I got sick right after eating it. It was romaine lettuce and they didn't have to wash it. Moreover, the place was full but when the Canadians scored their first goal, no one cheered. The cage has lost its soul, there is no atmosphere in this place. Avoid at all costs."
i cruzito,4.0,2020 05 31,"Great sports bar. Busy place, sat at the bar, ordered a burger and got it quicker than expected. Great local brews on tap, tonnes of screens with sports, and popcorn was provided to snack on. Really friendly and good staff. Plenty of seating options, booths and tables. Definitely recommend."
Shannon V,3.0,2020 05 31,"This restaurant has very loud music, we couldn't carry on a conversation. The menu selection was good. The Buffalo chicken wrap was burnt and had no sauce. The salad had no flavour. Wait staff forgot our request for sauce and then miraculously remembered Street the table behind us also asked for more sauce. Worth a try if you're into sports bars."
Amine,2.0,2020 05 31,"Good burgers but extremely mediocre service, they are victims of their own success...some waiters are extremely rude and insensitive...if you just want to eat you will find your account with the burger but if you want to spend a nice evening as a couple or with friends or even with family I absolutely do not recommend it to you ... lately every time I go there I witness drama: waiters who criticize their customers, the receptionist who refuses access in a young couple impolitely on the pretext that they have a stroller even if the baby is sleeping (wake him up or go for a walk and come back if he wakes up, you want to talk to the manager ok settle down... the poor leave after 10min of waiting while the manager was good. There in front of them available... when they leave the receptionist warns the manager and laughs... it was really sad especially since the young couple remained polite and you could see it with their first baby... they were embarrassed.. never again is à la cage...there is no shortage of great restaurants and brasseries in montreal."
amir shahshahani,4.0,2020 05 31,"Nice place, good service, good fish and chips and grilled chicken, just the portion was a bit lower than expected."
Diaa khalifeh,4.0,2020 05 31,Good vibe and atmosphere.... free popcorn all the time with refill ... good food ..... on Sundays you pay only $3 for your kids meals which I found fantastic....
Ibtissam Bahdaoui,1.0,2020 05 31,Racist manager and receptionist. I don't recommend this place.
Dr. Jiovani Fuzer,5.0,2020 05 31,"Looking for a sports bar in Montreal, super tip of this one. With more than 20 monitors/screens. The local IPA beer and a relaxed atmosphere."
Nara Fata,5.0,2020 05 31,Good food and good service.
Tristan Morais,4.0,2020 05 31,"Nice atmosphere, very good food."
Aida Arman,4.0,2020 05 31,Everything was as expected! We ordered burgers and roasted chicken which was ok! Nothing too special.
Alice AbiRaad,5.0,2020 05 31,"Great and great service! We ordered a Nachos with extra cheese and Guacamole and when we received the plate we thought that the extra cheese was not on the plate. Yes it was inside. to make a long story short we had great service and the waitress Audrey was great, user friendly and customer centric! Bravo and big thank you. I highly recommend!"
Pablo Duque,1.0,2020 05 31,"food was good and the hostess really nice, but service was really bad, careless waitress I didn't mind leaving her $0 for her awful service."
Marc Saucier,2.0,2020 05 31,Bland and tasteless DG burger. Worst burger in my life.
Carly Elms,5.0,2020 05 31,Delicious food and quick service! The staff are very friendly!
Marjolaine G,4.0,2020 05 31,"I have zero insight into food but in terms of a sports bar, it does the job. Lots of seating space for large groups which makes it perfect for a 5 a 7. The service is friendly and fast. There’s free popcorn! They serve appetizers as well but there’s aren’t many vegan options. Vegetarian options are available. The crowd is more old and professional - not a rowdy place at all which makes it comfortable and not too loud."
trilok singh kachhawa,3.0,2020 05 31,"Huge space to sit and watch your favourite sports. Service was little slow. Food was tasty and nicely presented. Seems staff doesn’t care about the serving ethics, she was looking behind at someone’s table while putting the fork and spoon, which led to fork fall down on ground. These small things makes a huge difference. Suggestion - Coasters needed on the tables. They got free popcorns at entrance. Overall this place is little over priced."
Nordic Volkan,5.0,2020 05 31,"Yes this is a pretty decent Sport Bar to go & hang out . Place: Is located in the Place-Des-ART AREA so it was conveniently located near my Hotel . Drinks were good, female Bartenders were friendly & smiled a lot. However, I was there for the Guinness so I had 2 Pints and and Screwdriver(Vodka + orange juice) . Once the vodka kicked in I settled the check & left. This place is cleaned, packed with respectful young professional crowd . Also less intimidating unlike some other Graffiti-decorated-bars/places on Rue Saint-Catherine. So yea, you should go there , have a drink, watched some cable live sport on the TV & chill. Happy Drinking :)"
Josée Perreault,5.0,2020 05 31,"Always GOOD COURTEOUS services, GREAT atmosphere. Me and my son go every week 😋"
Jeff Blain,5.0,2019 05 31,"Great service, smiling staff even in a really crowded lunch hour. 10/10"
Emmanuel Loisance,5.0,2019 05 31,
Robert Martin,3.0,2019 05 31,Great service and food. Very noisy. No acoustic dampning. Discussions are difficult.
patrick clarkson,5.0,2019 05 31,
David Christopher,5.0,2019 05 31,"Nice spot if your coming to town an wanna get your mind off work or whatever. Watch a game, have a beer, eat some wings."
Siddhartha Singh,5.0,2019 05 31,
Ali M. Kumakamba,4.0,2019 05 31,
Maxime Pellegrino,4.0,2019 05 31,
Florian VIncent,5.0,2019 05 31,
Bogdan,2.0,2019 05 31,Food and service alright but the place is very loud. We had to leave earlier than we wanted to.
JD Surrette,5.0,2019 05 31,Good food and drinks. Wireless charging built in to the bar. Free popcorn.
Guillaume Lapierre,4.0,2019 05 31,
Fadhel Midouni,4.0,2019 05 31,
Simon Lapointe,3.0,2019 05 31,
elte001,3.0,2019 05 31,
A Leguern,5.0,2019 05 31,
Pierre Ranger,3.0,2019 05 31,Beers take a long time to get to you if you're with even a small group. Pleasant staff kinda makes up for it...
Mohammed Karmati,5.0,2019 05 31,
Kevin Gandhi,5.0,2019 05 31,
cristian c,3.0,2019 05 31,"you know, Cage - beer, wings, lot of screens. But somehow insipid compared to other Cages"
Guillermo Malvis,4.0,2019 05 31,
Viktoria Scherbinina,5.0,2019 05 31,
Eduardo Cruz,4.0,2019 05 31,
Stephane Cardin,5.0,2019 05 31,
Mike Mabee,5.0,2019 05 31,Great wine! Great patio!
Caroline Thibault,4.0,2019 05 31,
Addy Maes,3.0,2019 05 31,
Paola Medina,3.0,2019 05 31,
ST Développement,5.0,2019 05 31,"Magnificent, welcoming, family... Frankly a beautiful place!"
Pu Chen,4.0,2019 05 31,"Worth, that is only thing I want to tell u, compare with other Steak House."
Ray Burke,3.0,2019 05 31,Surprisingly better than I remembered
jamie clemence,5.0,2019 05 31,
Yannick Morin,5.0,2019 05 31,
Abhishek Khurana,4.0,2019 05 31,
Jason Cox,5.0,2019 05 31,
Johanne Brousseau,3.0,2019 05 31,
Siavash Nabavizadeh,5.0,2019 05 31,Nice place. Fast service
Wali Ullah,4.0,2019 05 31,Great atmosphere with charming service .
Jessica Wolf,4.0,2019 05 31,
I A,5.0,2019 05 31,"Always tasty nachos, wings n burger :)"
Sylvain Bonin,4.0,2019 05 31,
JAC,4.0,2019 05 31,
Camille Lagacé,4.0,2019 05 31,
Yamac Oz,4.0,2019 05 31,
Daniel Fernández,4.0,2019 05 31,
Brian Adamson,4.0,2019 05 31,American type sports bar. Good beer and food selection
Yannick Deschenaux,4.0,2019 05 31,
Stephane Laramee,2.0,2019 05 31,
Annabelle Sauve,4.0,2019 05 31,
Tim Paquin,3.0,2019 05 31,"Slow to get in, but fast service inside. Good wings."
David Michaud,4.0,2019 05 31,
Gemechu Fanta Garuma,3.0,2019 05 31,Good place for a drink while watching sports events on big screen.
Joel Gilkey,1.0,2019 05 31,"Very busy, but no excuse for slow service, and to charge for a refill on pop. Never again .open your eyes"
Jean-Francois Ross,5.0,2019 05 31,
Mahutin AGOSSOU DIDE,4.0,2019 05 31,Friendly restaurant and fast service
Wadih M.,5.0,2019 05 31,
Marc-Antoine Charette,3.0,2019 05 31,
Yeja Morales,5.0,2019 05 31,Great ambiance! And tasty fish burger
yalitza ortiz,5.0,2019 05 31,
Eduardo Caldera,5.0,2019 05 31,
Robert Nelson,4.0,2019 05 31,"Good location downtown to watch sports matches. Staff have always been friendly and accomodating in my visits. Food is on the pricier side, but is decent. Free popcorn as with all La Cage locations. Wings are 50% off on Thursdays, so it's a good night to go!"
Sofia Valeria “y sus tesoros”,5.0,2019 05 31,
Marc Deshaies,5.0,2019 05 31,
zi house,4.0,2019 05 31,
Marko Bobar,5.0,2019 05 31,
Samsara82,4.0,2019 05 31,
Dania Pulido (Dan),4.0,2019 05 31,
Bamba ben zimacko,5.0,2019 05 31,
Lucas,4.0,2019 05 31,
Rose Mailloux,4.0,2019 05 31,
Brian Billingham,4.0,2019 05 31,
Franceska T.,4.0,2019 05 31,
Nicholas Aubin,3.0,2019 05 31,
Christian Lacasse,3.0,2019 05 31,
Inderjeet Singh,4.0,2019 05 31,Awesome experience its been another year for la cage dinner while I'm in Montreal for festival...we need you in Barrie Ontario too ;)
Agustin Ledesma,4.0,2019 05 31,
Pascal Gauthier,5.0,2019 05 31,
Denisson Paz,5.0,2019 05 31,"Even in a busy day, the pub could provide a very nice service. My chicken wrap was delicious (it could have been warmer though). The hamburger was also good, the caesar salad was really nice and my fries were fresh. I got a Pepsi refill and they were refilling it all the time. In summary I'd say I had a great experience there."
Victor Mikhailov,5.0,2019 05 31,
alex lalancette,5.0,2019 05 31,
Karumbaiah K G,4.0,2019 05 31,"Large place with class. Friendly staff. Prices are decent. A good medium rare steak costs about 25$. Beers are about 9$. Pretty decent for a place like this. The crowd is good. I ended up watching some 18yr olds doing body shots for almost 30mins. That was unexpected but good entertainment after the amazing jazz nights, I would have given 5 stars if not for that. Overall I'd recommend it to all age groups. Oh, there are so many TV's, so watching the game is an option here."
Scarey FX,5.0,2019 05 31,Service was very polite and friendly. Our waitress was extremely busy and did a fine job keeping up. Food was very good and priced well.
Kathy A,5.0,2019 05 31,"Nice place. Lots of TVs for sports. Good 🍺 beer, many choices. I had the fish tacos, they were very tasty. Service was great."
Mathias DESLOGES,4.0,2019 05 31,
Eduardo Petry,4.0,2019 05 31,"Good food options, better beer options than the average at the chain restobars (of course, except the microbreweries that has much more variability). Service is okay."
gawrika waidyaratne,5.0,2019 05 31,Had a good time at this place. Food was good and the beer was excellent.
jean-michel crete,4.0,2019 05 31,
Claudio Munoz,5.0,2019 05 31,
William Genest (william genest),3.0,2019 05 31,
Mathieu Decelles St-Pierre,5.0,2019 05 31,
David Corbeil,4.0,2019 05 31,
Lucile KIRCHER,5.0,2019 05 31,
julien lant,5.0,2019 05 31,
Bruce Given,1.0,2019 05 31,"Food is awful my wife had a lobster sandwich that absolutely stunk, they replaced it with a chicken sandwich but still billed us for the lobster sandwich.Beer selection is mediocre but they are trying to push the ""fresh "" budweiser.. who cares if its fresh it still barely real beer."
Person N Cary,3.0,2019 05 31,"Good dinner, average food, very crowded and loud; went on advice of others, a bit disappointed. Food (steak frites and fish & chips ) was OK. Slow service as the place was packed and it was very noisy."
Cedric Hardy,1.0,2019 05 31,
Sandra Martinez,5.0,2019 05 31,
Brian Olivera,1.0,2019 05 31,I order wings and they donts bring a plate for the bones and bring no napkins. I guess I'm supposed to wipe my fingers on the seats. This waiter didn't even come around . No tip for him today. Disappointed
Marc-André Payette,3.0,2019 05 31,
Rashmi Siva,4.0,2019 05 31,"Quick service, drinks are really good. Resturant is very spacious and even if you share a table you are still comfortable."
Scott Shuey,5.0,2019 05 31,"Good food, friendly staff."
Sergiu Catan,1.0,2019 05 31,The worst service I have ever had.Arrogant and not friendly guy at the counter (rude and discourteous).The moment when you are ashamed of someone's behavior.I don't recommend this creepy place.Never come back again.
Josee Champagne,3.0,2019 05 31,
Vincent Boudreau-Plouffe,3.0,2019 05 31,
Armani,1.0,2019 05 31,"I asked for a sandwish with no bacon, they get me one with bacon, asked to replace it, he gets me the same one after 20 min, cold meat, all shuffled, probably the same one he left sitting for a while in the kitchen,Very shameful never again!"
Eric Canadas,4.0,2019 05 31,
Sylvain Cote,4.0,2019 05 31,
Jessi Green,5.0,2019 05 31,
Mohammed ALAMI (Med ALA),5.0,2019 05 31,
Pat Gagné,5.0,2019 05 31,
steven grenier,5.0,2019 05 31,
Majed Dalal,5.0,2019 05 31,
Francis Lemaire,5.0,2019 05 31,"Awesome place for groups, the menu has really changed, they even had items for vegans"
Rodrigo Bastos,4.0,2019 05 31,
Alain Ledain,4.0,2019 05 31,
Damian Hoffman,4.0,2019 05 31,
Jean-Marc Longpre,3.0,2019 05 31,
Circo9,1.0,2019 05 31,"Went there specifically for their Poutine (from Poutine Week) and they didn't have any..... This was very disappointing to hear so instead I took a regular poutine, which had no flavour and came in a pretty small portion. The service was pretty slow as well. Overall, this was a very disappointing lunch."
Al Lac,5.0,2019 05 31,
Pascal Daneault,3.0,2019 05 31,
Mike Martini,4.0,2019 05 31,
Lord Cza,5.0,2019 05 31,"Came here hoping to watch the NFL divisional round, and it did not disappoint. Video walls showing various games from different sports, great atmosphere, delicious food, friendly service and the drinks were on point. Will stop by again next time I visit Montreal."
Joel Darsigny,4.0,2019 05 31,
Tom Johnson,5.0,2019 05 31,
STEPHANIE PELOQUIN,5.0,2019 05 31,
Terence Madode,2.0,2019 05 31,
Andrew Murchison,3.0,2019 05 31,"Wings were good but they took forever to arrive. Would be good if you could order to pick up to go. The bartender, Emily, was very kind and professional."
Yes Sir,5.0,2019 05 31,
François Verreau-Verge,2.0,2019 05 31,
Junior Goulet,4.0,2019 05 31,
Teslamjd,4.0,2019 05 31,
Thibault Martin,4.0,2019 05 31,
Kevin Humphrey,3.0,2019 05 31,"Friendly staff and an okay selection of craft beer. Nachos were great, gravy on Poutine is perfect, but the $19 DG burger was a dry, overcooked disappointment."
César Nunez,3.0,2019 05 31,
Isabel Sarmiento,4.0,2019 05 31,
Steve Lacelle,4.0,2019 05 31,
Simon Leduc,5.0,2019 05 31,
Guillaume Pierre,5.0,2019 05 31,
Nasim Sarjany,1.0,2019 05 31,Worst place to go to watch Fifa games. They put no sound and only a few TV shows the game. Don't waste your time we were really disappointed. 0/10
Annie Larochelle,5.0,2019 05 31,Montreal
sebas,1.0,2019 05 31,
Ruben Tejeda,5.0,2019 05 31,
Christophe Audrerie,4.0,2019 05 31,Nice
Laurent Guerri,4.0,2019 05 31,Prices a little too high for the quality of the cuisine which is correct. The service was good even if we were pushed a little to consume
Carlos Trujillo,5.0,2019 05 31,"Good place to drink and eat a lot of people, good service but a little slow"
Alonso Cárdenas,4.0,2019 05 31,
Thierry R,5.0,2019 05 31,Friendly and good.
Adam Poirier,4.0,2019 05 31,
Denis Maurais,4.0,2019 05 31,Beautiful area
Patricia Rubio xd,5.0,2019 05 31,
Bruno Christol,3.0,2019 05 31,
Lamarre Marc,2.0,2019 05 31,Expensive for what it is... Very very ordinary foods but good sporty atmosphere
Organ Forth,4.0,2019 05 31,
Meher Gara,5.0,2019 05 31,
Linda Yetto,3.0,2019 05 31,
François Carbonneau,3.0,2019 05 31,Ordinary food. Noisy atmosphere
Samuel Fiorentino,4.0,2019 05 31,
Chris Jin,5.0,2019 05 31,The waitresses are cute!
Yvan Sorin,5.0,2019 05 31,"Good atmosphere, very good food and freshly brewed beers 👍"
Bruno SILVE,4.0,2019 05 31,Good atmosphere. Nice service and good food
daniel dauphin,5.0,2019 05 31,A delight
Simon Bérubé,4.0,2019 05 31,
Yvan Levesque,5.0,2019 05 31,The menu has improved and the Leffe was worth trying.
Brent Villeneuve,4.0,2019 05 31,
46r 115,3.0,2019 05 31,Very average food; good beer; overall bad value for money.
Crysty Alexa,5.0,2019 05 31,
Jack Szynaka,4.0,2019 05 31,
Vahid Gh,4.0,2019 05 31,
Frank Costa,5.0,2019 05 31,
Ma Jo,5.0,2019 05 31,
Sandy Egger,5.0,2019 05 31,The top class
Pablo Viard,4.0,2019 05 31,
Marie-Claude Fontaine,5.0,2019 05 31,
Frédérique Daigle,2.0,2019 05 31,"The service is good, but the dishes are expensive and the wings are dry."
Miguel D.,5.0,2019 05 31,
Navjot Sandhu,1.0,2019 05 31,
Jean-Baptiste Lau-Hansen (jblauhansen),3.0,2019 05 31,
Mike Darryl,5.0,2019 05 31,Perfect!!!👌
Jean-François Rioux,3.0,2019 05 31,
Florent Lecocq,3.0,2019 05 31,Arrived at 12:00 served at 13:15. Edit: they gave us a $10 gift certificate each as compensation.
Ing Zimmerman,4.0,2019 05 31,"Sporty atmosphere, good service, micro-brewery, so no ordinary beer and a bit expensive."
Alain G,1.0,2019 05 31,"The fries are not good overcooked and black, I think it's time to change your frying oil."
Patrick Martin,5.0,2019 05 31,great place
mircus44,5.0,2019 05 31,Bon Bon Bon
Thierry Alexandre Leguay,4.0,2019 05 31,I had the poke bowl and it was very good. The selection of beers was surprising with a large choice of good quality.
Jonas Sauge,1.0,2019 05 31,Waitress knowingly gives the wrong change and increases her tip by 1 dollar on the way. Beautiful image when one is a tourist.
Gaetan Matte,4.0,2019 05 31,"""Trendy"" sports bar ..... you meet interesting people, good food, cold beers, HOT atmosphere!"
Guy Alarie,5.0,2019 05 31,
Alain Smolynecky,5.0,2019 05 31,Super pleasant despite the high traffic. The hostess found us a quiet corner. Extremely courteous staff.
Jean-Philippe Proslier,4.0,2019 05 31,
Jason Preston,4.0,2019 05 31,
martin desbois,3.0,2019 05 31,
Anderson Estevam,4.0,2019 05 31,
Morgane Loncke,5.0,2019 05 31,"First experience in a restaurant of this brand, and good experience. The prices were affordable and the atmosphere pleasant."
Noëmie Legault,5.0,2019 05 31,"I like the changes they made to their menu. It's much more interesting now. Good service, busy place"
Hafiz Damji,4.0,2019 05 31,
Michel Pierre,5.0,2019 05 31,
Edson Joseph,4.0,2019 05 31,A welcoming and very interesting place. The food is so good and diverse. The service is correct and personalized.
Mark Stepanek,2.0,2019 05 31,
Christian Duffau,5.0,2019 05 31,"Great place!! Friendly staff, sumptuous chicken wraps (my order), reasonably priced. Me, I'm fine."
evan mayali,5.0,2019 05 31,
Daniel Pinet,5.0,2019 05 31,"More than great service!! With 12 people at the table, in the middle of supper time, no one has ever lacked for anything! Hats off 🙏 True to your reputation!"
Metais Michel,4.0,2019 05 31,Great service!
anne Robitaille,3.0,2019 05 31,"Very friendly staff, price of wine a bit expensive"
Maxime Joyal,4.0,2019 05 31,Very good service and great food!
Ayoub RSB,1.0,2019 05 31,"Honestly I was very disappointed by the lack of professionalism and the incompetence of the customer service. Me and my friends had just come to eat, we were held up at the door because one of us didn't have his identity card on him. When we just wanted to eat. Do you find this normal? The worst is that we got kicked out by a certain named ""Kevin"" 07/20/2018. The reason is that I wanted to file a complaint against him for the bad service he gave us. It is simply unacceptable. Not recommended even if you have no choice do not go there"
Gustavo Zahluth,4.0,2019 05 31,"Delicious food, well served dishes and a good variety of beers."
Nick Wells,5.0,2019 05 31,
jean bordat,5.0,2019 05 31,
Carl Dumont,3.0,2019 05 31,
Alain J. Cusson,5.0,2019 05 31,"Great service. Extensive and varied menu. Fast service, pleasant atmosphere. Acceptable noise level that makes it easy to carry on a conversation without feeling like you have to shout. Fairly wide variety of beers with several levels of IBU. Nice place for a lunch with friends or to go see a game."
Mauro Fernández,3.0,2019 05 31,
Benoît Lacoursière,4.0,2019 05 31,
Andrei Kelner,5.0,2019 05 31,
Firouz Nikpour-Naini,3.0,2019 05 31,
S A,3.0,2019 05 31,
Brian Baines,5.0,2019 05 31,
Jeremy Butin,3.0,2019 05 31,
Nancy Renaud,4.0,2019 05 31,
Mansoor Ata,3.0,2019 05 31,
kamal TERRAF,4.0,2019 05 31,"I like their meal. Especially anything fish, salmon and I love their fries and salad. I had some great experiences at the sports cage. I like the atmosphere especially when there is a hockey game and the Canadian is playing. It is a very pleasant atmosphere."
Hernan Rodríguez,4.0,2019 05 31,
Jonathan Brochu,4.0,2019 05 31,"Good service, good atmosphere, nice decor, good fish tacos, good mustard and honey poutine. Bad salmon and beef tartars."
Chantal Deschamps,3.0,2019 05 31,
Judith Babcock,4.0,2019 05 31,
James Ogden II,5.0,2019 05 31,
Francis Labonté,5.0,2019 05 31,
Patrick Laprise,4.0,2019 05 31,
Bernard St-Aubin,5.0,2019 05 31,
Rial Sabri Ahmed,5.0,2019 05 31,"Top class on all counts, as usual! ❤"
Bella Bella,5.0,2019 05 31,
Daniel Rathe,4.0,2019 05 31,Super nice modern.beautiful view and very good service.competitive prices.super easy access 🚇 Place Des Arts.😃
Bernard Gagnier,5.0,2019 05 31,Place with a lot of sports atmosphere
m c,1.0,2019 05 31,"Enough is enough, I won't go there anymore! The service is always bad."
Nicolas Le Petitcorps,4.0,2019 05 31,
Vanessa Germain,5.0,2019 05 31,
JEANNINE DEVEZE,5.0,2019 05 31,"Quinoa salad with chicken, I recommend it. Very good service."
Jonathan Arsenault,5.0,2019 05 31,
Michel Gauvin,5.0,2019 05 31,Very good and excellent service
Nabil,1.0,2019 05 31,"Bad food and terrible service. We are brought poutine heated in the microwave (cold center, lukewarm sides). We want to claim the offer of free chicken wings (5 Canadian goals) and the waitress, AUDREY, makes us wait for hours. We end up paying and we continue to watch the UFC match. After receiving her tip and making us wait 3 hours, she ended up telling us in a silly tone that it's too late, the kitchen is closed. Then we ask for water, and it still doesn't come after 30 minutes, so we leave. Of the many times I've come, I've never had to deal with a waitress as stupid and incompetent as AUDREY."
sylvain paulhus,5.0,2019 05 31,
Really Cool guy,5.0,2019 05 31,Recommended for watching the worldcup
Genevieve Fortier,5.0,2019 05 31,"The service, the chicken wings and the plate of nachos are really excellent."
Florence Mensah,5.0,2019 05 31,
JB (lumi_jay),5.0,2019 05 31,
Paola,5.0,2019 05 31,
Guillaume Parent (TheZombieParrot),3.0,2019 05 31,
Flavio,4.0,2019 05 31,"Establishment with a good variety of food and drinks. The dishes are well served, there are several beer options, the service is good. The price is high, but not abusive. The atmosphere is pleasant to go with friends, watch games and have fun."
Simon Kemp-Parazelli,1.0,2019 05 31,
Ece Taner,5.0,2019 05 31,
Mathias Blaizeau,5.0,2019 05 31,
Don't klick,1.0,2019 05 31,
Lionel,4.0,2019 05 31,
Nicolas Jullien,3.0,2019 05 31,The ribs were a little disappointing. Friendly setting.
Nathalie Chartier,4.0,2018 05 31,"Fast, very pleasant, and warm service! Thank you 😊"
Badr terrab,1.0,2018 05 31,"zero, junk food"
alain desjardins,4.0,2018 05 31,"very good food, but there is noise"
Jeza Yuki,5.0,2018 05 31,"Great place , awesome food, amazing service. Try their bugger and the stake. Been here a couple times , have a wonderful experience. Lovely , definitely coming back again , the next time I'm visiting Montreal."
Richard Schagrin,1.0,2018 05 31,"Walked Out. After being seated and waiting 15 minutes while many servers passed our table, we decided to leave.A very busy Sports bar."
Stephane Briere,4.0,2018 05 31,"Always well served, fast enough for a Cage."
Norbert Dy,3.0,2018 05 31,
lili chretien,5.0,2018 05 31,
Shana Behary,4.0,2018 05 31,I go there often to watch MMA matches.
k p,1.0,2018 05 31,
Sylvie Esteve Berthuit,5.0,2018 05 31,
Jacques Morin,2.0,2018 05 31,
Paul McAllister,4.0,2018 05 31,"Extremely fast service! My beer arrived before the waiter even left the table! The wings were tasty and arrives super fast as well. Busy place with lots of huge screens for watching various games. When we arrived, we were greeted by the friendly hostess and she even asked if we were there to watch a game so she could seat us in the best spot. Very relaxed atmosphere and friendly staff."
Naomi,5.0,2018 05 31,great service and the food is delicious.
Marianne B,5.0,2018 05 31,"The white sangria is excellent, the service is super fast."
Baptiste Ivl,5.0,2018 05 31,Nickel as a place to watch sports.
Adam,4.0,2018 05 31,
Louise Laflamme,4.0,2018 05 31,Great service! Very attentive staff.
